,Unnamed: 0,Unnamed: 0.1,Community,Province,Island,Postal_Code,Locality,Locality_Website,Name,Alternative_Name_1,Alternative_Name_2,Descripci,Beach_Length_m,Beach_Width_m,Popularity,Urbanization,Sea_Promenade,Type_of_Sea_Promenade,Type_of_Sand,Condition,Nudism,Blue_Flag,Reachable_by_bus,Bus_Stop,Parking,Parking_Watched,Parking_Spaces,Toilets,Footbaths,Showers,Public_Telephones,Trashcans,Child_Zone,Sport_Zone,Yacht_Club,Surfing_Zone,Sport_Harbour,Sport_Harbour_Website,Distance_to_Harbour_km,Hospital,Phone_Number,Distance_to_Hospital_km,Ground_Type,lon,lat,bathingWaterIdentifier,quality2019,rating,google_place_id
821,821,821,Canarias,Santa Cruz de Tenerife,Tenerife,38035,San Miguel de Abona,http://www.sanmigueldeabona.es,El Barranco, , ,"Playa cercana a unas urbanizaciones de edificaciones bajas, a pesar de lo cual presenta una baja afluencia de público.",120,28,Low,Isolated,No, , ,Oleaje moderado,No,No,Yes,"Interurbano, Línea 470",No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo Marina San Miguel (Amarilla Golf & Marina),http://www.marinasanmiguel.com,,Clínica San Eugenio,922752626,,Gravel,-16.6198,28.019000000000002,ES709M0062093,Excellent,4.2,ChIJJXqa7f2hagwRieebN2unUlA
822,822,822,Canarias,Santa Cruz de Tenerife,Tenerife,38035,San Miguel de Abona,http://www.sanmigueldeabona.es,San Blas, , ,Playa rocosa de aguas tranquilas que no dispone de equipamientos y es poco frecuentada por los bañistas.,260,22,Low,Urban,No, ,Dark,Aguas tranquilas,No,No,Yes,"Interurbano, Línea 470",Yes,,,No,,No,No,No,No,No,No,No,Puerto Deportivo Marina San Miguel (Amarilla Golf & Marina),http://www.marinasanmiguel.com,,Clínica San Eugenio,922752626,,Sand / Rock / Gravel,-16.598,28.0282,ES709M0171853,Excellent,,
823,823,823,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Valleseco, , ,Pequeña playa situada al fondo del muelle del puerto de Santa Cruz de Tenerife y al lado de la refinería.,80,20,Medium,Urban,Yes, , ,Aguas tranquilas,No,No,Yes,Urbano,Yes,,,No,,No,No,No,No,No,No,No,Club Náutico de Santa Cruz de Tenerife, ,"1,5",Hospital Universitario Nuestra Señora de Candelaria,922602000,,Gravel,-16.236,28.4864,ES709M0382456,Excellent,,
824,824,824,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Las Teresitas, , ,Centro turístico por excelencia. Ofrece todo tipo de equipamientos y un gran número de servicios hosteleros.,1.300,80,Medium,Isolated,No, ,Golden,Aguas tranquilas,No,No,Yes,Urbano,Yes,,More than 100 places,Yes,,Yes,Yes,Yes,Yes,No,No,No,Club Náutico de Santa Cruz de Tenerife, ,"2,8",Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand,-16.1852,28.5094,ES709M0381882,Excellent,4.5,ChIJf8HZ0TjKQQwRa07RG675lFY
825,825,825,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Las Gaviotas, , ,"Enclavada al fondo de una montaña, esta playa situada muy cerca de Santa Cruz de Tenerife no ofrece apenas servicios.",250,40,Medium,Semi-Urban,No, ,Dark,Oleaje moderado,Yes,No,Yes,"Interurbano, Línea 245",Yes,,Less than 50 parking places,No,,No,No,Yes,No,No,No,No,Club Náutico de Santa Cruz de Tenerife, ,8,Hospital Universitario Nuestra Señora de Candelaria,922602000,18,Sand,-16.1757,28.5135,ES709M0381885,Excellent,4.5,ChIJecFhoRbKQQwRz5j4SK4ZLQA
826,826,826,Canarias,Santa Cruz de Tenerife,Tenerife,38028,Puerto de la Cruz,http://www.puertodelacruz.es,Playa Chica, , ,"Playa anexa a Playa Jardín, de arena negra. Ofrece un excelente nivel de servicios que hacen que esta playa sea muy frecuentada por el público.",130,10,High,Urban,Yes, ,Dark,Oleaje moderado,No,No,Yes,Urbano,Yes,,More than 100 places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Puerto Pesquero Puerto de la Cruz, ,"1,3",Clínica Tamaragua,922380512,1,Sand,-16.5611,28.412,ES709M0282088,Excellent,,
827,827,827,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,El Balayo,Cueva del Agua, ,Situada al fondo de un barranco.,360,34,Low,Isolated,No, ,Dark,Oleaje moderado,No,No,Yes,Urbano,No,,,No,No,No,No,No,No,No,No,No,Club Náutico de Santa Cruz de Tenerife, ,11,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand,-16.1671,28.5185,ES709M0381885,Excellent,0.0,ChIJ61kDQw_KQQwRR63wlnb2UxI
828,828,828,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,El Burro, , ,Playa aislada al pie de una escarpada montaña. No está dotada de infraestructuras y es poco visitada por el público.,350,15,Low,Isolated,No, ,Dark,Oleaje fuerte,No,No,Yes,Urbano,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,12,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand / Pebbles,-16.1641,28.5195,ES709M0381885,Excellent,4.8,ChIJ19cMVw_KQQwRPpQ9Qd0t2Cs
829,829,829,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,El Llano, , ,"Playa cercana al núcleo de Igueste, de arena oscura, a la que sólo puede accederse a pie y que no ofrece ningún tipo de servicio.",110,15,Low,Isolated,No, ,Dark,Oleaje fuerte,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand,-16.1578,28.5221,ES709M0381885,Excellent,4.2,ChIJF299jQfKQQwRvF4pBDNRLKc
830,830,830,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Antequera, , ,Playa ubicada a los pies de una montaña que configura un impresionante paisaje. El acceso a ella se realiza en barco.,400,25,Low,Isolated,No, ,Dark,Oleaje fuerte,Yes,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand,-16.1322,28.5352,ES709M0381885,Excellent,,
831,831,831,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Casas Blancas, , ,"Playa situada en un entrono de gran belleza, y que disfruta de aguas limpias y cristalinas. Se accede a ella en barco.",80,12,Low,Isolated,No, , ,Oleaje fuerte,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Gravel,-16.135,28.5788,ES709M0381885,Excellent,5.0,ChIJD-s6qcq3QQwRWju7gKxb_18
832,832,832,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Roque Bermejo, , ,"Situada a los pies de un impresionante acantilado, esta playa goza de aguas cristalinas. El acceso a ella se realiza en barco.",120,16,Low,Isolated,No, ,Dark,Oleaje moderado,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand,-16.1348,28.58,ES709M0381885,Excellent,,
833,833,833,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Fabián, , ,"El acceso a esta playa enclavada al fondo de un impresionante acantilado, donde rompen las olas fuertemente, es bastante complicado.",1.000,25,Low,Isolated,No, ,Dark,Oleaje fuerte,Yes,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand / Pebbles / Gravel,-16.1808,28.5787,ES709M0381885,Excellent,4.7,ChIJ0XqFJkrIQQwRD6Gkp4AwrLY
834,834,834,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Almaciga, , ,"Playa que sufre un fuerte oleaje, ubicada en un entorno rocoso protegido. No ofrece ningún tipo de equipamiento",300,35,Medium,Isolated,No, ,Dark,Oleaje fuerte,No,No,Yes,"Interurbano, Línea 246",Yes,,Less than 50 parking places,No,,No,No,Yes,No,No,No,Yes,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,23,Hospital Universitario Nuestra Señora de Candelaria,922602000,31,Sand / Rock,-16.192999999999998,28.5725,ES709M0381885,Excellent,,
835,835,835,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Roque de las Bodegas, , ,"Esta playa se encuentra rodeada de altos acantilados, dentro de una zona protegida. Las condiciones de baño son complicadas debido al oleaje que sufre.",380,45,Medium,Semi-Urban,Yes, ,Dark,Oleaje fuerte,No,No,Yes,"Interurbano, Línea 246",Yes,,Less than 50 parking places,No,,No,Yes,Yes,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,22,Hospital Universitario Nuestra Señora de Candelaria,922602000,30,Sand / Rock / Gravel,-16.2048,28.5698,ES709M0381885,Excellent,4.7,ChIJDT2LtKrJQQwR2Gy2DwGrqMs
836,836,836,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Tachero, , ,"En esta playa, como en casi todas las de la zona, el oleaje es fuerte, lo que complica las condiciones del baño. Presenta una escasa afluencia de público.",800,30,Low,Isolated,No, , ,Oleaje fuerte,No,No,No, ,No,,,No,No,No,No,Yes,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Pebbles / Gravel,-16.222,28.5661,ES709M0381882,Excellent,,
837,837,837,Canarias,Santa Cruz de Tenerife,Tenerife,38038,Santa Cruz de Tenerife,http://www.santacruzdetenerife.es,Tamadite,Tamaiste,Tamadiste,"Situada al fondo de un barranco, el acceso a pie a esta playa es bastante complicado. Las condiciones del oleaje hacen que haya que tener precaución a la hora del baño.",250,40,Low,Isolated,No, ,Dark,Oleaje fuerte,Yes,No,No, ,No,,,No,No,No,No,No,No,No,No,No, , ,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand / Gravel,-16.2535,28.5705,ES709M0232432,Excellent,4.3,ChIJ2wXUVSvPQQwRqY8CkrvtpL8
838,838,838,Canarias,Santa Cruz de Tenerife,Tenerife,38040,Santiago del Teide,http://www.santiagodelteide.org,Los Guíos,Argel, ,Playa famosa por el acantilado que la rodea con paredes superiores a 300 m y un puerto deportivo con todo tipo de embarcaciones.,180,20,High,Urban,No, ,Dark,Aguas tranquilas,No,No,Yes,"Interurbano, Línea 473, 325",No,,,Yes,Yes,Yes,No,Yes,No,No,No,No,Puerto Los Gigantes,http://www.losgigantesmarina.com/,"0,02",Hospital Las Américas,922750022,35,Sand,-16.8406,28.2474,ES709M0402090,Excellent,,
839,839,839,Canarias,Santa Cruz de Tenerife,Tenerife,38040,Santiago del Teide,http://www.santiagodelteide.org,Santiago,Playa del muelle, ,Playa de reducidas dimensiones en un entorno altamente urbanizado.,50,20,Medium,Urban,Yes, ,Dark,Aguas tranquilas,No,No,Yes,"Interurbano, Línea 473, 493",Yes,,,No,Yes,Yes,No,Yes,No,No,No,No,Puerto Los Gigantes,http://www.losgigantesmarina.com/,1,Hospital Las Américas,922750022,33,Sand,-16.8425,28.2373,ES709M0401886,Excellent,,
840,840,840,Canarias,Santa Cruz de Tenerife,Tenerife,38040,Santiago del Teide,http://www.santiagodelteide.org,La Arena, , ,Centro turístico del municipio con un buen nivel de servicios.,140,40,High,Urban,Yes, ,Dark,Oleaje moderado,No,Yes,Yes,"Interurbano, Línea 473, 325",Yes,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Puerto Los Gigantes,http://www.losgigantesmarina.com/,"1,5",Hospital Las Américas,922750022,30,Sand,-16.840999999999998,28.2297,ES709M0401886,Excellent,,
841,841,841,Canarias,Santa Cruz de Tenerife,Tenerife,38040,Santiago del Teide,http://www.santiagodelteide.org,Barranco Seco, , ,Amplia cala aislada a la que sólo se puede acceder en barco o caminando por el barranco que desemboca en la misma. El entorno que la rodea es magnífico y las aguas limpias y cristalinas.,620,20,Low,Isolated,No, ,Dark,Aguas tranquilas,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Puerto Los Gigantes,http://www.losgigantesmarina.com/,1,Hospital Las Américas,922750022,43,Sand / Gravel,-16.8495,28.2722,ES709M0402090,Excellent,5.0,ChIJe-0BnpGLagwRslC8Yo4sa00
842,842,842,Canarias,Santa Cruz de Tenerife,Tenerife,38043,Tacoronte,http://www.tacoronte.es,El Rincón, , ,"Playa que ofrece unas condiciones aceptables para el baño, pero que no dispone de ningún tipo de infraestructura.",400,15,Medium,Isolated,No, ,Dark,Oleaje fuerte,No,No,Yes,Interurbano,Yes,,,No,,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand / Pebbles / Gravel,-16.42,28.511999999999997,ES709M0431890,Excellent,,
843,843,843,Canarias,Santa Cruz de Tenerife,Tenerife,38043,Tacoronte,http://www.tacoronte.es,El Sargo, , ,"Pequeña playa que cuenta con área de fondeo, poco frecuentada por los bañistas",150,20,Low,Semi-Urban,Yes, ,Dark,Oleaje moderado,No,No,Yes,Interurbano Línea 021,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Centro de Salud San Juan Perales,922563902,4,Pebbles / Gravel,-16.4215,28.5074,ES709M0431890,Excellent,,
844,844,844,Canarias,Santa Cruz de Tenerife,Tenerife,38043,Tacoronte,http://www.tacoronte.es,El Pris, , ,"Playa de reducidas dimensiones cuyas condiciones para el baño son complicadas debido al fuerte oleaje que presenta, por lo que está poco frecuentada por los bañistas",170,15,Low,Urban,Yes, ,Dark,Oleaje fuerte,No,No,Yes,Urbano,Yes,,Less than 50 parking places,No,No,Yes,Yes,Yes,No,No,No,No,Puerto Deportivo de Santa Cruz de Tenerife,http://www.puertosdetenerife.org/index.php/es/tf-marinas,,Centro de Salud San Juan Perales,922563902,"3,5",Pebbles / Gravel,-16.421,28.5105,ES709M0431890,Excellent,,
845,845,845,Canarias,Santa Cruz de Tenerife,Tenerife,38043,Tacoronte,http://www.tacoronte.es,La Arena,Mesa del Mar, ,"Playa de arena negra y fina de origen volcánico, se encuentra bajo unos acantilados. Ofrece aguas tranquilas al resguardo de las corrientes marinas.",350,30,High,Urban,Yes, ,Dark,Oleaje moderado,No,Yes,Yes,Interurbano Línea 021,Yes,,Less than 50 parking places,No,Yes,Yes,Yes,Yes,No,No,No,No, , ,,Centro de Salud San Juan Perales,922563902,4,Sand,-16.4243,28.5005,ES709M0431889,Excellent,4.4,ChIJSwGWnVfRQQwRAMHPaL4UbXE
846,846,846,Canarias,Santa Cruz de Tenerife,Tenerife,38043,Tacoronte,http://www.tacoronte.es,El Camello, , ,"Playa aislada compuesta por rocas, poco apta para el baño. No cuenta con ningún tipo de infraestructuras.",400,20,Low,Isolated,No, , ,Oleaje moderado,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No, , ,,Centro de Salud San Juan Perales,922563902,4,Pebbles / Rock,-16.4257,28.4953,ES709M0431889,Excellent,3.3,ChIJC51kGf3TQQwRm0rYV2LLoBQ
847,847,847,Canarias,Santa Cruz de Tenerife,La Palma,38008,Breña Alta,http://www.balta.org,Bajamar, , ,"Playa de arena oscura, que presenta una moderada afluencia de público. Dispone de aseos y duchas.",400,48,Medium,Semi-Urban,Yes, ,Dark,Oleaje moderado,No,Yes,Yes,Urbano,Yes,,Between 50 and 100 parking places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, , ,,Hospital General de La Palma,922185000,10,Sand,-17.7691,28.6708,ES707M0081844,Excellent,4.4,ChIJS0um4wvsawwRlb7wTtqAews
848,848,848,Cantabria,Cantabria, ,39006,Arnuero,http://www.ayuntamientodearnuero.com,Los Barcos, , ,"Playa colindante con la de Ris, de arena fina dorada. Cuenta con paseo marítimo y presenta un nivel medio de servicios",50,20,Medium,Urban,Yes,Complete,Golden,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,Between 50 and 100 parking places,No,Yes,Yes,Yes,Yes,No,No,No,No,Puerto de Laredo,http://www.puertodelaredo.com,20,Hospital Comarcal de Laredo,942638500,25,Sand,-3.542,43.496,ES130M006538,Excellent,4.6,ChIJWZ1oSZ25Tg0R3NlstwnPDUQ
849,849,849,Cantabria,Cantabria, ,39006,Arnuero,http://www.ayuntamientodearnuero.com,El Sable,Quejo, ,Pequeña playa urbana de arena fina dorada y protegida por las rocas que la rodean. Presenta una alta afluencia de público y un nivel medio de servicios.,150,50,High,Urban,Yes,Complete,Golden,Aguas tranquilas,No,Yes,Yes,Interurbano,Yes,,Less than 50 parking places,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Puerto de Laredo,http://www.puertodelaredo.com,20,Hospital Comarcal de Laredo,942638500,25,Sand,-3.5419,43.4981,ES130M006538,Excellent,4.6,ChIJWZ1oSZ25Tg0R3NlstwnPDUQ
850,850,850,Cantabria,Cantabria, ,39006,Arnuero,http://www.ayuntamientodearnuero.com,Los Franceses,Arnadal, ,"Playa rocosa de pequeño tamaño, de arena fina dorada y de acceso complicado a pie. No ofrece ningún tipo de infraestructura .",30,10,Medium,Isolated,No, ,Golden,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Puerto de Laredo,http://www.puertodelaredo.com,20,Hospital Comarcal de Laredo,942638500,25,Sand,-3.5415,43.5004,ES130M006538,Excellent,4.7,ChIJ47yEvHi5Tg0RFHpWSXxd4sg
851,851,851,Cantabria,Cantabria, ,39006,Arnuero,http://www.ayuntamientodearnuero.com,La Arena,Los Nudistas, ,Playa enclavada en un bonito entorno rocoso con vegetación. Presenta una escasa afluencia de público y no ofrece ningún tipo de servicio.,150,40,Low,Isolated,No, ,Golden,Aguas tranquilas,Yes,Yes,Yes,Interurbano,No,,,Yes,Yes,No,No,No,No,No,No,No,Puerto de Laredo,http://www.puertodelaredo.com,30,Hospital Comarcal de Laredo,942638500,30,Sand,-3.5851,43.5016,ES130M011539,Excellent,4.6,ChIJRev0Z1S3Tg0RhNV1Eh5FT00
852,852,852,Cataluña/Catalunya,Girona, ,17013,Begur,http://www.begur.org,Playa Fonda, , ,"Playa de arena gris oscuro, ubicada entre paredes rocosas con vegetación de pinos, con un bonito entorno natural, pero que carece de equipamientos.",130,15,High,Isolated,No, ,Dark,Oleaje moderado,No,No,No, ,,,,No,No,No,No,Yes,No,No,No,No,Port de Fornells,http://www.portsib.es/es/paginas/inicio/puertos-y-amarres/puertos-en-menorca/port-de-fornells/,"0,5",Hospital Comarcal de Palamós,972600160,15,Sand,3.2174,41.9418,ES512M013702,Excellent,4.4,ChIJT9hwKs1TuhIRsih6fLevKqE
853,853,853,Cataluña/Catalunya,Girona, ,17013,Begur,http://www.begur.org,Sa Tuna, , ,Playa de carácter semiurbano que acoge gran cantidad de barquitas de los pescadores de la zona,80,22,High,Semi-Urban,Yes, ,Dark,Aguas tranquilas,No,No,No, ,Yes,No,Less than 50 parking places,No,Yes,Yes,No,Yes,No,No,No,No,Port de Fornells,http://www.portsib.es/es/paginas/inicio/puertos-y-amarres/puertos-en-menorca/port-de-fornells/,10 K,Hospital Comarcal de Palamós,972600160,16,Sand / Pebbles,3.2296,41.9603,ES512M013700,Excellent,,
854,854,854,Cataluña/Catalunya,Girona, ,17013,Begur,http://www.begur.org,Aiguafreda, , ,Esta playa carece de arena y esta acondicionada para el amarre de los barcos deportivos que frecuentan la zona.,15,12,Medium,Isolated,No, , ,Aguas tranquilas,No,No,No, ,Yes,,Less than 50 parking places,Yes,,Yes,No,Yes,No,No,No,No,Port de Fornells,http://www.portsib.es/es/paginas/inicio/puertos-y-amarres/puertos-en-menorca/port-de-fornells/,10,Hospital Comarcal de Palamós,972600160,16,Pebbles / Concrete,3.2268,41.9644,ES512M013700,Excellent,,
855,855,855,Cataluña/Catalunya,Girona, ,17013,Begur,http://www.begur.org,Sa Riera, , ,"Es una de las playas más atractivas de la zona, muy bien equipada incluyendo acceso para discapacitados.",242,84,High,Urban,Yes, ,Golden,Aguas tranquilas,No,No,No, ,Yes,No,Between 50 and 100 parking places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Port de Fornells,http://www.portsib.es/es/paginas/inicio/puertos-y-amarres/puertos-en-menorca/port-de-fornells/,7,Hospital Comarcal de Palamós,972600160,16,Sand,3.2111,41.9725,ES512M013699,Excellent,,
856,856,856,Cataluña/Catalunya,Girona, ,17054,Colera,http://www.colera.cat/,Dels Morts,D'en Goixa, ,"Se trata de la playa de Colera más visitada, de piedras y arena gris oscura y rodeada de altos acantilados.",300,30,High,Semi-Urban,No, ,Dark,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,No,,,Yes,,Yes,Yes,Yes,No,No,Yes,No,Club Nàutic Sant Miquel de Colera, ,"0,5",Hospital Comarcal de Figueres,972501400,29,Sand / Gravel,3.1556,42.4056,ES512M054722,Excellent,4.5,ChIJeWLBn0F8uhIR_0IpvWdAlwU
857,857,857,Cataluña/Catalunya,Girona, ,17054,Colera,http://www.colera.cat/,Rovellada, , ,"Playa frecuentada por la gente que reside en la urbanización cercana, que recibe el mismo nombre que la playa, y donde es común la caña de pescar, la piragua y el submarinismo.",50,20,Low,Semi-Urban,No, ,Dark,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Club Nàutic Sant Miquel de Colera, ,2,Hospital Comarcal de Figueres,972501400,31,Sand / Pebbles,3.1622,42.4115,ES512M054722,Excellent,,
858,858,858,Cataluña/Catalunya,Girona, ,17140,El Port de la Selva,http://ca.elportdelaselva.cat/,Taballera, , ,"Cala con un acceso por tierra muy difícil, encontrándose aislada y muy poco visitada.",135,15,Low,Isolated,No, , ,Oleaje moderado,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Club Nàutic Port de la Selva,http://www.cnps.cat,8,Hospital Comarcal de Figueres,972501400,38,Pebbles / Gravel,3.2496,42.3296,ES512M140755,Excellent,,
859,859,859,Cataluña/Catalunya,Girona, ,17140,El Port de la Selva,http://ca.elportdelaselva.cat/,Cala Tamariua, , ,"Playa situada entre dos montañas, aislada de cualquier construcción y en estado totalmente virgen.",100,60,Medium,Semi-Urban,No, ,Dark,Oleaje moderado / Ventosa,Yes,No,Yes,Interurbano,Yes,No,Less than 50 parking places,No,No,No,No,No,No,No,No,No,Club Nàutic Port de la Selva,http://www.cnps.cat,"0,8",Hospital Comarcal de Figueres,972501400,32,Sand / Gravel,3.2096,42.3436,ES512M140755,Excellent,4.5,ChIJ3wptpM1kuhIRyKZ9UyRT50A
860,860,860,Canarias,Santa Cruz de Tenerife,La Palma,38009,Breña Baja,http://www.bbaja.es,Los Cancajos, , ,"Amplia playa de arena oscura, muy frecuentada por el público y dotada de buenos equipamientos.",624,31,High,Semi-Urban,Yes, ,Dark,Aguas tranquilas / Oleaje moderado,No,Yes,Yes,Interurbano,Yes,,More than 100 places,Yes,,Yes,Yes,Yes,No,No,No,No,Puerto de Santa Cruz de la Palma, ,2,Hospital General de La Palma,922185000,6,Sand / Rock,-17.7607,28.6529,ES707M0091845,Excellent,,
861,861,861,Canarias,Santa Cruz de Tenerife,La Palma,38014,Fuencaliente de la Palma,http://www.fuencalientedelapalma.es/,La Zamora, , ,Pequeña playa de arena oscura situada en el municipio de Fuencaliente.,190,25,Low,Isolated,No, ,Dark,Oleaje moderado / Oleaje fuerte,No,No,Yes,Interurbano a 13 Km,Yes,No,Less than 50 parking places,No,No,No,No,Yes,No,No,No,No,Puerto Tazacorte,http://www.puertotazacorte.com/,15,Hospital General de La Palma,922185000,38,Sand,-17.875,28.5157,ES707M0241869,Excellent,4.3,ChIJeckC2b-NawwR-CkjYSxndnk
862,862,862,Canarias,Santa Cruz de Tenerife,La Palma,38014,Fuencaliente de la Palma,http://www.fuencalientedelapalma.es/,Punta Larga, , ,Playa de reducidas dimensiones rodeada de pequeñas edificaciones a la que se accede en coche. Ofrece escasos equipamientos.,110,25,Medium,Isolated,No, ,Dark,Aguas tranquilas / Oleaje moderado,No,No,Yes,Interurbano a 12 Km,Yes,,Between 50 and 100 parking places,No,,No,Yes,Yes,No,No,No,No,Puerto Tazacorte,http://www.puertotazacorte.com/,,Hospital General de La Palma,922185000,42,Sand / Pebbles / Gravel,-17.868,28.4824,ES707M0241869,Excellent,5.0,ChIJteDA1xGOawwRe-VfYcKEi9g
863,863,863,Canarias,Santa Cruz de Tenerife,La Palma,38014,Fuencaliente de la Palma,http://www.fuencalientedelapalma.es/,Abadejos, , ,"Pequeña cala a la que se puede acceder a pie, que se encuentra en una zona de cultivos. Presenta un bajo nivel de ocupación.",100,"7,1",Low,Isolated,No, ,Dark,Oleaje moderado,No,No,Yes,Interurbano,Yes,,,No,No,No,No,No,No,No,No,No, , ,,Hospital General de La Palma,922185000,40,Sand / Pebbles,-17.8645,28.4696,ES707M0241869,Excellent,,
864,864,864,Canarias,Santa Cruz de Tenerife,La Palma,38014,Fuencaliente de la Palma,http://www.fuencalientedelapalma.es/,Echentive, , ,"Playa formada en 1971 a raíz de la erupción del Teneguía. Se encuentra junto a la Galería de la ""Fuente Santa"" y dispone de charcas naturales de gran belleza.",230,77,Low,Isolated,No, , ,Oleaje fuerte / Ventosa,No,No,Yes,Interurbano a 10 Km,Yes,,Less than 50 parking places,No,No,No,No,Yes,No,No,No,No, , ,,Hospital General de La Palma,922185000,40,Pebbles / Gravel,-17.8508,28.4588,ES707M0241869,Excellent,4.6,ChIJdwyy-SaOawwR-SxDt9lkaTI
865,865,865,Canarias,Santa Cruz de Tenerife,La Palma,38014,Fuencaliente de la Palma,http://www.fuencalientedelapalma.es/,El Faro, , ,"Playa del faro de Fuencaliente, el cual se encuentra en restauración. Está próxima a las salinas de Fuencaliente. Se accede en coche.",100,20,Low,Isolated,No, ,Dark,Oleaje moderado / Ventosa,No,No,Yes,Interurbano a 10 Km,Yes,No,,No,,No,No,No,No,No,No,No,Puerto de Santa Cruz de la Palma, ,20,Hospital General de La Palma,922185000,40,Sand / Rock / Gravel,-17.8437,28.4557,ES707M0241869,Excellent,,
